Source File,Original Word,AI Corrected Word,Change Type
004_02_0.hocr,Darmtadt,Darmstadt,REPLACED
004_02_0.hocr,font,sont,REPLACED
004_02_0.hocr,enfuite,ensuite,REPLACED
004_02_0.hocr,cames,canes,REPLACED
004_02_0.hocr,dilant,disant,REPLACED
004_02_0.hocr,fouffriroient,souffriroient,REPLACED
004_02_0.hocr,plu,plus,REPLACED
004_02_0.hocr,Ce,Ces,REPLACED
004_02_0.hocr,ete,eté,REPLACED
004_02_0.hocr,accordce,accordées,REPLACED
004_02_0.hocr,',n'eus-,REPLACED
004_02_0.hocr,cue,sent,REPLACED
004_02_0.hocr,tive,reçu,REPLACED
004_02_0.hocr,l'organifat,l'organisati-,REPLACED
004_02_0.hocr,Françoife,Françoise,REPLACED
004_02_0.hocr,dé.iberuient,déliberoient,REPLACED
004_02_0.hocr,inclures,mesures,REPLACED
004_02_0.hocr,foldats,soldats,REPLACED
004_02_0.hocr,ailemb,assemb-,REPLACED
004_02_0.hocr,ces,lées,REPLACED
004_02_0.hocr,institus,institué,REPLACED
004_02_0.hocr,onfeil,conseil,REPLACED
