Source File,Original Word,AI Corrected Word,Change Type
005_01_6.hocr,Glauwars,Glassware,REPLACED
005_01_6.hocr,Say,SALE,REPLACED
005_01_6.hocr,the,by,REPLACED
005_01_6.hocr,wires,the,REPLACED
005_01_6.hocr,,Subscribers,REPLACED
005_01_6.hocr,from,on,REPLACED
005_01_6.hocr,en,,REPLACED
005_01_6.hocr,and,a-,REPLACED
005_01_6.hocr,dble,dble.,REPLACED
005_01_6.hocr,",",rose,REPLACED
005_01_6.hocr,rows,,REPLACED
005_01_6.hocr,Wimes,Wines,REPLACED
005_01_6.hocr,bad,had,REPLACED
005_01_6.hocr,in,in,REPLACED
005_01_6.hocr,quaeritics,quantities,REPLACED
005_01_6.hocr,dozens,dozens.,REPLACED
