Source File,Original Word,AI Corrected Word,Change Type
005_01_6.hocr,formoon,forenoon,REPLACED
005_01_6.hocr,subasting,subsisting,REPLACED
005_01_6.hocr,FREDE,FREDK,REPLACED
005_01_6.hocr,drick,ween,REPLACED
005_01_6.hocr,M'Kent,M'Tavish,REPLACED
005_01_6.hocr,Show,Shaw,REPLACED
005_01_6.hocr,M'Lend,M'Leod,REPLACED
005_01_6.hocr,Glauwars,Glassware,REPLACED
005_01_6.hocr,Say,SALE,REPLACED
005_01_6.hocr,the,by,REPLACED
005_01_6.hocr,wires,the,REPLACED
005_01_6.hocr,,Subscribers,REPLACED
005_01_6.hocr,from,on,REPLACED
005_01_6.hocr,en,,REPLACED
005_01_6.hocr,and,a-,REPLACED
005_01_6.hocr,dou,don,REPLACED
005_01_6.hocr,MTavish,M'Tavish,REPLACED
005_01_6.hocr,ay,of,REPLACED
005_01_6.hocr,servitade,servitude,REPLACED
005_01_6.hocr,25d,23d,REPLACED
005_01_6.hocr,Yvirtue,virtue,REPLACED
005_01_6.hocr,hene,hence,REPLACED
005_01_6.hocr,barth,forth,REPLACED
005_01_6.hocr,d,said,REPLACED
005_01_6.hocr,Normah,Norman,REPLACED
005_01_6.hocr,MTavish,M'Tavish,REPLACED
005_01_6.hocr,MSTAVISH,M'TAVISH,REPLACED
005_01_6.hocr,",",",",REPLACED
005_01_6.hocr,MGILLIVRAYS,M'GILLIVRAYS,REPLACED
005_01_6.hocr,Ist,1st,REPLACED
005_01_6.hocr,NORK,CORK,REPLACED
005_01_6.hocr,EORGE,GEORGE,REPLACED
005_01_6.hocr,Gon,GOD,REPLACED
005_01_6.hocr,",",",",REPLACED
005_01_6.hocr,MA,BY,REPLACED
005_01_6.hocr,Based,virtue,REPLACED
005_01_6.hocr,,of,REPLACED
005_01_6.hocr,,a,REPLACED
005_01_6.hocr,,WRIT,REPLACED
005_01_6.hocr,,Majesty's,REPLACED
005_01_6.hocr,,EXECUTION,REPLACED
005_01_6.hocr,,",",REPLACED
005_01_6.hocr,,issued,REPLACED
005_01_6.hocr,King,King's,REPLACED
005_01_6.hocr,of,,REPLACED
005_01_6.hocr,the,,REPLACED
