Source File,Original Word,AI Corrected Word,Change Type
005_02_0.hocr,داد,,DELETED
005_02_0.hocr,فاق,,DELETED
005_02_0.hocr,.,,DELETED
005_02_0.hocr,,MR.,INSERTED
005_02_0.hocr,,Secretary,INSERTED
005_02_0.hocr,,Fox,INSERTED
005_02_0.hocr,,then,INSERTED
005_02_0.hocr,,acquainted,INSERTED
005_02_0.hocr,,the,INSERTED
005_02_0.hocr,,House,INSERTED
005_02_0.hocr,,",",INSERTED
005_02_0.hocr,,that,INSERTED
005_02_0.hocr,Mage,a,REPLACED
005_02_0.hocr,Reliven,Message,REPLACED
005_02_0.hocr,,to,REPLACED
005_02_0.hocr,,deliver,REPLACED
005_02_0.hocr,Majely,Majesty,REPLACED
005_02_0.hocr,Mto,,DELETED
005_02_0.hocr,Houfe,House,REPLACED
005_02_0.hocr,ufual,usual,REPLACED
005_02_0.hocr,66,,DELETED
005_02_0.hocr,"""",,DELETED
005_02_0.hocr,T,THAT,REPLACED
005_02_0.hocr,HAT,his,REPLACED
005_02_0.hocr,his,Majesty,REPLACED
005_02_0.hocr,Majefly,,REPLACED
005_02_0.hocr,fapplies,supplies,REPLACED
005_02_0.hocr,fupported,supported,REPLACED
005_02_0.hocr,uncommon,,DELETED
005_02_0.hocr,firmnefs,,DELETED
005_02_0.hocr,and,,DELETED
005_02_0.hocr,fortitude,,DELETED
005_02_0.hocr,Houfe,House,REPLACED
005_02_0.hocr,ceconomy,oeconomy,REPLACED
005_02_0.hocr,eftablishment,establishment,REPLACED
005_02_0.hocr,fhortly,shortly,REPLACED
005_02_0.hocr,Houfe,House,REPLACED
005_02_0.hocr,",",",",REPLACED
005_02_0.hocr,defiring,desiring,REPLACED
005_02_0.hocr,affiftance,assistance,REPLACED
005_02_0.hocr,fame,same,REPLACED
005_02_0.hocr,Majefly,Majesty,REPLACED
005_02_0.hocr,referves,reserves,REPLACED
005_02_0.hocr,whole,whose,REPLACED
005_02_0.hocr,refts,rests,REPLACED
005_02_0.hocr,fure,sure,REPLACED
005_02_0.hocr,belt,best,REPLACED
005_02_0.hocr,fupport,support,REPLACED
005_02_0.hocr,refource,resource,REPLACED
005_02_0.hocr,folid,solid,REPLACED
005_02_0.hocr,ftable,stable,REPLACED
005_02_0.hocr,fecurity,security,REPLACED
005_02_0.hocr,provifion,provision,REPLACED
005_02_0.hocr,meffage,message,REPLACED
005_02_0.hocr,rofe,rose,REPLACED
005_02_0.hocr,Majelly's,Majesty's,REPLACED
005_02_0.hocr,meffage,message,REPLACED
005_02_0.hocr,to,to,REPLACED
005_02_0.hocr,the,the,REPLACED
005_02_0.hocr,Houfe,House,REPLACED
005_02_0.hocr,to,so,REPLACED
005_02_0.hocr,exprefs,express,REPLACED
005_02_0.hocr,fenfe,sense,REPLACED
005_02_0.hocr,meflage,message,REPLACED
005_02_0.hocr,effufion,effusion,REPLACED
005_02_0.hocr,diftreffes,distresses,REPLACED
005_02_0.hocr,cafing,easing,REPLACED
005_02_0.hocr,diftreffes,distresses,REPLACED
005_02_0.hocr,bleffed,blessed,REPLACED
005_02_0.hocr,mit,mist,REPLACED
005_02_0.hocr,be,be-,REPLACED
005_02_0.hocr,away,away-,REPLACED
005_02_0.hocr,difpoled,disposed,REPLACED
005_02_0.hocr,commiferate,commiserate,REPLACED
005_02_0.hocr,fituation,situation,REPLACED
005_02_0.hocr,meffage,message,REPLACED
005_02_0.hocr,affifting,assisting,REPLACED
005_02_0.hocr,beft,best,REPLACED
005_02_0.hocr,fupport,support,REPLACED
005_02_0.hocr,(,spirit,REPLACED
005_02_0.hocr,pirit,of,REPLACED
005_02_0.hocr,of,the,REPLACED
005_02_0.hocr,the,constitution,REPLACED
005_02_0.hocr,conflitution,,REPLACED
005_02_0.hocr,,paused,INSERTED
005_02_0.hocr,effofions,effusions,REPLACED
005_02_0.hocr,Houfe,House,REPLACED
005_02_0.hocr,feffed,fessed,REPLACED
005_02_0.hocr,,;,INSERTED
