Source File,Original Word,AI Corrected Word,Change Type
006_01_0.hocr,afferted,asserted,REPLACED
006_01_0.hocr,Congrefs,Congress,REPLACED
006_01_0.hocr,es,ies,REPLACED
006_01_0.hocr,muft,must,REPLACED
006_01_0.hocr,confeffed,confessed,REPLACED
006_01_0.hocr,,the,INSERTED
006_01_0.hocr,exclufive,exclusive,REPLACED
006_01_0.hocr,from,having,REPLACED
006_01_0.hocr,Shaving,Representatives,REPLACED
006_01_0.hocr,Reprefentatives,,REPLACED
006_01_0.hocr,Affembly,Assembly,REPLACED
006_01_0.hocr,Chefter,Chester,REPLACED
006_01_0.hocr,fending,sending,REPLACED
006_01_0.hocr,requeft,request,REPLACED
006_01_0.hocr,exprefs,express,REPLACED
006_01_0.hocr,fimilar,similar,REPLACED
006_01_0.hocr,fame,same,REPLACED
006_01_0.hocr,inſtead,instead,REPLACED
006_01_0.hocr,fubmitted,submitted,REPLACED
006_01_0.hocr,the,the,REPLACED
006_01_0.hocr,fame,same,REPLACED
006_01_0.hocr,fuppofed,supposed,REPLACED
006_01_0.hocr,Legiflature,Legislature,REPLACED
006_01_0.hocr,requeft,request,REPLACED
006_01_0.hocr,refufed,refused,REPLACED
006_01_0.hocr,Chefter,Chester,REPLACED
006_01_0.hocr,",",",",REPLACED
006_01_0.hocr,reprefented,represented,REPLACED
006_01_0.hocr,Burgeffes,Burgesses,REPLACED
006_01_0.hocr,reprefent,represent,REPLACED
006_01_0.hocr,jurifdictions,jurisdictions,REPLACED
006_01_0.hocr,quietnefs,quietness,REPLACED
006_01_0.hocr,fuaded,suaded,REPLACED
006_01_0.hocr,reprefented,represented,REPLACED
006_01_0.hocr,circumftance,circumstance,REPLACED
006_01_0.hocr,infinuated,insinuated,REPLACED
006_01_0.hocr,fupre-,supre-,REPLACED
006_01_0.hocr,concellions,concessions,REPLACED
006_01_0.hocr,of,of,REPLACED
006_01_0.hocr,the,the,REPLACED
006_01_0.hocr,Legiflature,Legislature,REPLACED
006_01_0.hocr,Legiflatures,Legislatures,REPLACED
006_01_0.hocr,poffeffing,possessing,REPLACED
006_01_0.hocr,impofts,imposts,REPLACED
006_01_0.hocr,affertions,assertions,REPLACED
006_01_0.hocr,fupreme,supreme,REPLACED
006_01_0.hocr,fupreme,supreme,REPLACED
006_01_0.hocr,againit,against,REPLACED
006_01_0.hocr,Legiflature,Legislature,REPLACED
006_01_0.hocr,ufurp,usurp,REPLACED
006_01_0.hocr,folecifm,solecism,REPLACED
006_01_0.hocr,favour,savour,REPLACED
006_01_0.hocr,deferted,deserted,REPLACED
006_01_0.hocr,fpeak,speak,REPLACED
006_01_0.hocr,fubjects,subjects,REPLACED
006_01_0.hocr,affume,assume,REPLACED
006_01_0.hocr,queftion,question,REPLACED
006_01_0.hocr,fifts,sists,REPLACED
006_01_0.hocr,ftruck,struck,REPLACED
006_01_0.hocr,fovereign,sovereign,REPLACED
006_01_0.hocr,",",",",REPLACED
006_01_0.hocr,muft,must,REPLACED
006_01_0.hocr,afcribed,ascribed,REPLACED
006_01_0.hocr,fituation,situation,REPLACED
006_01_0.hocr,Legiflature,Legislature,REPLACED
006_01_0.hocr,Gongrefs,Congress,REPLACED
006_01_0.hocr,ftigmatize,stigmatize,REPLACED
006_01_0.hocr,oppreffion,oppression,REPLACED
006_01_0.hocr,.,.,REPLACED
006_01_0.hocr,Paffing,Passing,REPLACED
006_01_0.hocr,ftrain,strain,REPLACED
006_01_0.hocr,fcurrility,scurrility,REPLACED
006_01_0.hocr,anceſtors,ancestors,REPLACED
006_01_0.hocr,plaufe,plause,REPLACED
006_01_0.hocr,cenfure,censure,REPLACED
006_01_0.hocr,Colonifts,Colonists,REPLACED
006_01_0.hocr,tranfmitted,transmitted,REPLACED
006_01_0.hocr,fums,sums,REPLACED
006_01_0.hocr,eftablishment,establishment,REPLACED
006_01_0.hocr,fupport,support,REPLACED
006_01_0.hocr,inconteftible,incontestable,REPLACED
006_01_0.hocr,fcarcely,scarcely,REPLACED
006_01_0.hocr,MMON,MON,REPLACED
006_01_0.hocr,DRO,DROIT,REPLACED
006_01_0.hocr,prétenfions,prétensions,REPLACED
006_01_0.hocr,Reponfe,Reponse,REPLACED
006_01_0.hocr,Reprefentans,Représentans,REPLACED
006_01_0.hocr,dune,d'une,REPLACED
006_01_0.hocr,Aflemblée,Assemblée,REPLACED
006_01_0.hocr,Chefter,Chester,REPLACED
006_01_0.hocr,gillature,gislature,REPLACED
006_01_0.hocr,s'adrefferent,s'adresserent,REPLACED
006_01_0.hocr,fuccès,succès,REPLACED
006_01_0.hocr,repréfenté,représenté,REPLACED
006_01_0.hocr,fuppofés,supposés,REPLACED
006_01_0.hocr,paifible,paisible,REPLACED
006_01_0.hocr,et,et,REPLACED
006_01_0.hocr,refpectueufe,respectueuse,REPLACED
006_01_0.hocr,Légiflature,Législature,REPLACED
006_01_0.hocr,refufée,refusée,REPLACED
006_01_0.hocr,Chefter,Chester,REPLACED
006_01_0.hocr,",",",",REPLACED
006_01_0.hocr,repréfenté,représenté,REPLACED
006_01_0.hocr,repréfenter,représenter,REPLACED
006_01_0.hocr,fuprême,suprême,REPLACED
006_01_0.hocr,jurifdictions,jurisdictions,REPLACED
006_01_0.hocr,fuis,suis,REPLACED
006_01_0.hocr,fuadé,suadé,REPLACED
006_01_0.hocr,feroit,seroit,REPLACED
006_01_0.hocr,fullent,sussent,REPLACED
006_01_0.hocr,repréfentés,représentés,REPLACED
006_01_0.hocr,circonftance,circonstance,REPLACED
006_01_0.hocr,qu'infinuée,qu'insinuée,REPLACED
006_01_0.hocr,fupremacie,supremacie,REPLACED
006_01_0.hocr,foit,soit,REPLACED
006_01_0.hocr,Légillature,Législature,REPLACED
006_01_0.hocr,",",",",REPLACED
006_01_0.hocr,foit,soit,REPLACED
006_01_0.hocr,fem-,sem-,REPLACED
006_01_0.hocr,Légiflature,Législature,REPLACED
006_01_0.hocr,foumettent,soumettent,REPLACED
006_01_0.hocr,exprellement,expressément,REPLACED
006_01_0.hocr,fuprême,suprême,REPLACED
006_01_0.hocr,Légiflature,Législature,REPLACED
006_01_0.hocr,Légiflature,Législature,REPLACED
006_01_0.hocr,fuprême,suprême,REPLACED
006_01_0.hocr,",",",",REPLACED
006_01_0.hocr,univerfel,universel,REPLACED
006_01_0.hocr,néceffaire,nécessaire,REPLACED
006_01_0.hocr,puiffe,puisse,REPLACED
006_01_0.hocr,Magiftrat,Magistrat,REPLACED
006_01_0.hocr,autorifer,autoriser,REPLACED
006_01_0.hocr,foit,soit,REPLACED
006_01_0.hocr,exémption,exemption,REPLACED
006_01_0.hocr,Légiflature,Législature,REPLACED
006_01_0.hocr,ufurperoit,usurperoit,REPLACED
006_01_0.hocr,auffi,aussi,REPLACED
006_01_0.hocr,néceffaire,nécessaire,REPLACED
006_01_0.hocr,de,de,REPLACED
006_01_0.hocr,s'excufer,s'excuser,REPLACED
006_01_0.hocr,agiffent,agissent,REPLACED
006_01_0.hocr,queftion,question,REPLACED
006_01_0.hocr,confifte,consiste,REPLACED
006_01_0.hocr,fue,que,REPLACED
006_01_0.hocr,fouverain,souverain,REPLACED
006_01_0.hocr,fouveraineté,souveraineté,REPLACED
006_01_0.hocr,Confeil,Conseil,REPLACED
006_01_0.hocr,choifi,choisi,REPLACED
006_01_0.hocr,refte,reste,REPLACED
006_01_0.hocr,fituation,situation,REPLACED
006_01_0.hocr,Legifla-,Legisla-,REPLACED
006_01_0.hocr,calomnieufes,calomnieuses,REPLACED
006_01_0.hocr,diverfes,diverses,REPLACED
006_01_0.hocr,accufations,accusations,REPLACED
006_01_0.hocr,d'oppreffion,d'oppression,REPLACED
006_01_0.hocr,fuite,suite,REPLACED
006_01_0.hocr,de,de,REPLACED
006_01_0.hocr,baffes,basses,REPLACED
006_01_0.hocr,conftituans,constituans,REPLACED
