Errors,Corrected Spelling
addrefs,address
Addrefs,Address
adminiftration,administration
Adminiftration,Administration
advertife,advertise
Advertife,Advertise
advertifements,advertisements
Advertifements,Advertisements
affujetir,assujetir
Affujetir,Assujetir
affuré,assuré
Affuré,Assuré
affurer,assurer
Affurer,Assurer
afia,asia
Afia,Asia
ainfy,ainsy
Ainfy,Ainsy
ajufté,ajusté
Ajufté,Ajusté
alfo,also
Alfo,Also
almoft,almost
Almoft,Almost
amufement,amusement
Amufement,Amusement
amufements,amusements
Amufements,Amusements
amufer,amuser
Amufer,Amuser
anfwer,answer
Anfwer,Answer
angloife,angloise
Angloife,Angloise
auffy,aussy
Auffy,Aussy
avertiffements,avertissements
Avertiffements,Avertissements
ball,shall
Ball,Shall
beavy,heavy
Beavy,Heavy
befides,besides
Befides,Besides
befoin,besoin
Befoin,Besoin
brutifh,brutish
Brutifh,Brutish
c’eft,c'est
C’eft,C'est
caufe,cause
Caufe,Cause
caufera,causera
Caufera,Causera
ceffation,cessation
Ceffation,Cessation
cheft,chest
Cheft,Chest
chofen,chosen
Chofen,Chosen
chofes,choses
Chofes,Choses
choifies,choisies
Choifies,Choisies
chufe,chuse
Chufe,Chuse
clandeftine,clandestine
Clandeftine,Clandestine
confécutivement,consécutivement
Confécutivement,Consécutivement
confequence,consequence
Confequence,Consequence
conféquence,conséquence
Conféquence,Conséquence
confiderable,considerable
Confiderable,Considerable
confideration,consideration
Confideration,Consideration
confidered,considered
Confidered,Considered
confidérera,considérera
Confidérera,Considérera
confifter,consister
Confifter,Consister
confist,consist
Confist,Consist
connoiffoit,connoissoit
Connoiffoit,Connoissoit
correfpondance,correspondance
Correfpondance,Correspondance
correfpondence,correspondence
Correfpondence,Correspondence
courfe,course
Courfe,Course
croiffent,croissent
Croiffent,Croissent
defavantage,desavantage
Defavantage,Desavantage
deferve,deserve
Deferve,Deserve
deffein,dessein
Deffein,Dessein
defign,design
Defign,Design
defigned,designed
Defigned,Designed
deftiné,destiné
Deftiné,Destiné
deftined,destined
Deftined,Destined
deftinés,destinés
Deftinés,Destinés
difadvantages,disadvantages
Difadvantages,Disadvantages
difappointments,disappointments
Difappointments,Disappointments
difcontinués,discontinués
Difcontinués,Discontinués
difcours,discours
Difcours,Discours
difent,disent
Difent,Disent
difette,disette
Difette,Disette
difperferont,disperseront
Difperferont,Disperseront
difputé,disputé
Difputé,Disputé
diftrefs,distress
Diftrefs,Distress
diftribuer,distribuer
Diftribuer,Distribuer
diftribution,distribution
Diftribution,Distribution
diftricts,districts
Diftricts,Districts
difturbers,disturbers
Difturbers,Disturbers
eaft,east
Eaft,East
effays,essays
Effays,Essays
efpagne,espagne
Efpagne,Espagne
efpérer,espérer
Efpérer,Espérer
efpérons,espérons
Efpérons,Espérons
efprit,esprit
